Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Dwi Pada Sirsasana,द्विपादशीर्षासन,Dvipādaśīrṣāsana,Two-Legged Headstand,Dvi = two; Pāda = foot; Śīrṣa = head,nāḍī śodhana,Ekapādaśīrṣāsana,Dvipādaśīrṣāsana,x,,,,13,"Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.","[[Ānandabālāsana]], [[Ardhabaddhapadmottānāsana]], [[Ardhabaddhapadmapaścimottānāsana]], [[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Baddhapadmāsana]], [[Bhujapīḍāsana]], [[Ekapādarājakapotāsana]], [[Ekapādaśīrṣāsana]], [[Gomukhāsana B]], [[Karṇapīḍāsana]], [[Kūrmāsana]], [[Mālāsana]], [[Marīchyāsana C]], [[Pādahastāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]], and [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Ekapādabakāsana A]]","Hip flexors and adductors, pelvic floor, abdominals, knee flexors, shoulder retractors and adductors.","[[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Ekapādarājakapotāsana]], [[Ekapādaśīrṣāsana]], [[Karṇapīḍāsana]], [[Marīchyāsana A]], [[Padmāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]], and [[Prasāritapādottānāsana D]], [[Ubhayapādāṅguṣṭhāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ūrdhvamukhapaścimottānāsana]], [[Ekapādabakāsana A]].","[[Suptakūrmāsana]], [[Cakorāsana]].","[[Apānāsana]], [[Bālāsana]].",43
Eka Pada Bakasana A,एकपादबकासन A,Ekapādabakāsana A,One-Legged Crane Pose A,Eka = one; Pāda = foot; Baka = crane,tṛtīya śreṇī,Galavāsana,Ekapādabakāsana A,x,,x,Apertura,10,"Wrist flexors, shoulder elevators and flexors, obliques, hip extensors. Folded leg: hip adductors, internal rotators of the leg. Extended leg: knee flexors foot dorsiflexors.","Arkarna [[Daṇḍāsana]], [[Aṣṭavakrāsana]], [[Bakāsana B]], [[Ekapādarājakapotāsana]] Prep poses, [[Galavāsana]], [[Marīchyāsana A]] and C.","Front leg: hip adductors and extensors, internal rotators of the leg, knee synergists. Back leg: internal rotators of the leg, knee flexors. Abdominals, transversus abdominis, chest, shoulder stabilizers (emphasis protractors, flexors), external rotators of the arm, elbow synergists, wrist flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Vīrabhadrāsana A]].",A peak pose! Transition to [[Chaturāṅgadaṇḍāsana]].,"[[Upaviṣṭhakoṇāsana A]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Bālāsana]], [[Bhuja]]",44
Eka Pada Bakasana B,एकपादबकासन B,Ekapādabakāsana B,One-Legged Crane Pose B,Eka = one; Pāda = foot; Baka = crane,tṛtīya śreṇī,Ekapādabakāsana A,Ekapādabakāsana B,x,,,,,,,,,,,45
Eka Pada Koundinyasana A,कोउण्डिन्यासन A,Kouṇḍinyāsana A,One-Legged Sage Koundinya’s Pose I,Eka = one; Pāda = foot; Named after Sage Koundinya,tṛtīya śreṇī,Ekapādabakāsana B,Kouṇḍinyāsana A,x,,,,10,"Wrist flexors, shoulder elevators, chest, obliques, back extensors. Front leg: hip extensors, external rotators of the leg, knee flexors. Back leg: hip flexors, knee extensors.","[[Ardha Matsyendrāsana]], [[Supta Matsyendrāsana]], Marichyasana B, [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Pārśvabakāsana]], [[Pārśvottānāsana]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, adductors, flexors), chest, obliques, abdominals, knee extensors, foot dorsiflexors. Lower leg: hip flexors and adductors. Upper leg: hip extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Ardha Matsyendrāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]],[[Parivṛttārdhacandrāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Phalakāsana]].","Transition to [[Chaturāṅgadaṇḍāsana]], add to [[Śīrṣāsana B]] vinyasa, [[Kouṇḍinyāsana A]], [[Galavāsana]].","[[Bhuja]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",46
Eka Pada Koundinyasana B,कोउण्डिन्यासन B,Kouṇḍinyāsana B,One-Legged Sage Koundinya’s Pose II,Eka = one; Pāda = foot; Named after Sage Koundinya,tṛtīya śreṇī,Kouṇḍinyāsana A,Kouṇḍinyāsana B,x,,,,10,"Wrist flexors, shoulder elevators, chest, hip adductors. Front leg: hip extensors, internal rotators of the leg, knee flexors. Back leg: hip flexors, knee extensors.","[[Añjanēyāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]], [[Vīrabhadrāsana B]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, adductors, flexors), chest, obliques, abdominals, knee extensors, foot dorsiflexors. Propped leg: hip flexors and adductors. Back leg: hip extensors, knee extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Ardhacandrāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Marīchyāsana A]], [[Phalakāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vasiṣṭhāsana]], [[Vīrabhadrāsana B]].","Transition to [[Chaturāṅgadaṇḍāsana]], [[Kouṇḍinyāsana A]], [[Kouṇḍinyāsana A]] A, [[Galavāsana]], add to [[Śīrṣāsana B]] vinyasa.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Vinyāsa]], [[Bhuja]].",47
Eka Pada Sirsasana A,एकपादशीर्षासन,Ekapādaśīrṣāsana,One-Legged Headstand,Eka = one; Pāda = foot; Śīrṣa = head,nāḍī śodhana,Ardha Matsyendrāsana,Ekapādaśīrṣāsana,x,,,,4,"Grounded leg: hip synergists, external rotators of the leg, knee flexors, calf. Sirsa leg: hip adductors and extensors, internal rotators of the leg. Back extensors, shoulder elevators, chest.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Agnistambhāsana]], [[Ākarṇa Dhanurāsana]], [[Añjanēyāsana]], [[Ardhabaddhapadmottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Rājakapotāsana]], [[Gomukhāsana B]], [[Mālāsana]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]].","Hip flexors and adductors. Grounded leg: internal rotators of the leg, knee extensors, foot dorsiflexors. Gesture leg: external rotators, knee flexors. Transversus abdominis, back extensors, obliques, shoulder retractors.","[[Ākarṇa Dhanurāsana]], [[Ekapādarājakapotāsana]] Prep, [[Gomukhāsana B]], [[Karṇapīḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Uttānāsana]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]].","[[Cakorāsana]], [[Dvipādaśīrṣāsana]], [[Yoga Nidrāsana]].","[[Vinyāsa]], [[Marīchyāsana]], [[Bālāsana]].",48
Ekapada Raja Kapotasana,एकपादराजकपोतासन,Ekapādarājakapotāsana,One-Legged King Pigeon Pose,Ekapāda = one-legged; Rāja = king; Kapota = pigeon,tṛtīya śreṇī,Rājakapotāsana,Ekapādarājakapotāsana,x,x,,,"13,4","Front leg: hip adductors and extensors, internal rotators of the leg, knee extensors. Back leg: hip flexors, external rotators of the leg, knee flexors. Abdominals, chest, shoulder extensors, retractors and elevators, neck.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Rājakapotāsana]], [[Garuḍāsana]] arms, [[Gomukhāsana B]], [[Baddhakoṇāsana A]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]].","Pelvic floor. Front leg: hip flexors and abductors, knee flexors, foot dorsiflexors. Back leg: hip extensors and adductors, internal rotators of the leg, knee synergists. Transversus abdominis, back extensors, shoulder protractors and flexors, external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Parivṛttapārśvakoṇāsana]], [[Śalabhāsana B]], [[Vīrabhadrāsana A]].",,"[[Vinyāsa]], [[Marīchyāsana]], [[Bālāsana]].",49
Ekapada Viparita Dandasana,एकपादविपरीतदण्डासन,Ekapādaviparītadaṇḍāsana,One-Legged Inverted Staff Pose,Ekapāda = one-legged; Viparīta = inverted; Daṇḍa = staff,tṛtīya śreṇī,Dvipādaviparītadaṇḍāsana,Ekapādaviparītadaṇḍāsana,x,,,,,,,,,,,50
Galavasana,गलवासन​,Galavāsana,Sage Galava’s Pose,Named after Sage Galava,tṛtīya śreṇī,Ūrdhvakukkutāsana,Galavāsana,x,,,,10,"Wrist flexors, shoulder elevators, retractors. Folded leg: hip extensors and adductors, internal rotators of the leg. Extended leg: hip flexors, knee flexors.","[[Bakāsana B]] and its Prep poses, [[Ekapādarājakapotāsana]] and its Prep poses, [[Utkaṭāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals. Grounded leg: external rotators, hip flexors, knee flexors. Extended leg: hip extensors, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Bakāsana B]], [[Ekapādarājakapotāsana]], [[Gomukhāsana B]], [[Padmāsana]].",[[Ekapādabakāsana A]].,"[[Vinyāsa]], [[Bālāsana]], [[Bhuja]], [[Bālāsana]].",51
Ganda Bherundasana,गण्डभेरुण्डासन,Gaṇḍabheruṇḍāsana,Fierce Bird Pose,Gaṇḍa = fierce; Bheruṇḍa = a mythical bird,tṛtīya śreṇī,Viparīcchalabhāsana,Gaṇḍabheruṇḍāsana,x,,,,,,,,,,,52
Garbha Pindasana,गर्भपिण्डासन,Garbhapiṇḍāsana,Embryo in the Womb Pose,Garbha = womb; Piṇḍa = embryo,yoga cikitsā,Suptakūrmāsana,Garbhapiṇḍāsana,x,,,,4,"Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Pādāṅguṣṭhāsana]], [[Padmāsana]], [[Paścimottānāsana A]], [[Piṇḍāsana]], [[Prasāritapādottānāsana A]] and D, [[Ūrdhvamukhapaścimottānāsana]], [[Uttānāsana]].","Hip flexors, external rotators of the leg, pelvic floor, abdominals, back extensors, knee flexors, shoulder retractors and adductors, elbow flexors.","[[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Kūrmāsana]], [[Mālāsana]], [[Padmāsana]], [[Prasāritapādottānāsana A]], [[Ubhayapādāṅguṣṭhāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Piṇḍāsana]], [[Matsyāsana]].","[[Matsyāsana]] Prep, [[Uttānapādāsana]], [[Śavāsana]].",53
Garudasana,गरुडासन,Garuḍāsana,Eagle Pose,Garuḍa = eagle (mythological bird); Āsana = posture,,,,,,x,Equilibrio,1,"Calf of standing leg, hip extensors, external rotators of the leg, shoulder retractors, extensors, and elevators, internal rotators of the arm.","[[Gomukhāsana B]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Vṛkṣāsana]] [[Bharmanāsana]].","Grounded leg: intrinsic foot muscles. Both legs: knee and hip synergists. Hip adductors, internal rotators of the leg, back extensors, transversus abdominis, shoulder flexors, protractors, adductors, and depressors. Internal rotators of the arm, elbow flexors.","[[Ālāsana]], [[Gomukhāsana B]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Vīrabhadrāsana C]], [[Vṛkṣāsana]].","[[Gomukhāsana B]], [[Mṛgāsana]], [[Vīrabhadrāsana A]].","[[Tāḍāsana]], [[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]].",54
Gomukhasana A,गोमुखासन अ,Gomukhāsana A,Cow Face Pose A,Go = cow; Mukha = face,nāḍī śodhana,Parighāsana,Gomukhāsana A,x,x,,,,,,,,,,55
Gomukhasana B,गोमुखासन ब्,Gomukhāsana B,Cow Face Pose B,Go = cow; Mukha = face,nāḍī śodhana,Gomukhāsana A,Gomukhāsana B,x,,,,4,"Hip adductors, extensors, and rotators. Back extensors, shoulder retractors and elevators. Top arm: shoulder and elbow extensors. Bottom arm: shoulder flexors, external rotators of the arm.","[[Ardha Matsyendrāsana]], [[Marīchyāsana C]], [[Parivṛtta Jānuśīrṣāsana]], [[Paścimottānāsana A]], [[Vīrabhadrāsana A]].","Hip flexors and adductors, external rotators of the leg, pelvic floor, transversus abdominis, knee flexors. Lower arm: internal rotators, shoulder extensors. Upper Arm: shoulder flexors, protractors, and adductors, elbow flexors.","[[Ardha Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Jānuśīrṣāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Ekapādarājakapotāsana]], [[Bharadvājāsana]] and [[Mṛgāsana]].","[[Daṇḍāsana]], [[Baddhakoṇāsana B]], [[Upaviṣṭhakoṇāsana A]], [[Adhomukhaśvānāsana]].",56
Halasana,हलासन​,Halāsana,Plow Pose,Hala = plow,samāpana,Sarvāṅgāsana,Karna Pidasana,x,x,x,Entrega,11,"Foot dorsiflexors, knee extensors, hip extensors, back extensors.","[[Daṇḍāsana]], [[Prasāritapādottānāsana C]], [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), back extensors, hip extensors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Prasāritapādottānāsana C]] arms, [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]], [[Uttānāsana]].","[[Karṇapīḍāsana]], [[Sarvāṅgāsana]].","[[Uttānapādāsana]], [[Marīchyāsana]], [[Adhomukhaśvānāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",57
Hanumanasana,हनुमानासन​,Hanumānāsana,Hanuman’s Pose,"Named after Hanuman, the monkey god",tṛtīya śreṇī,Suptatrivikramāsana,Hanumānāsana,x,,,,4,"Front leg: calf, knee flexors, hip extensors. Back leg: knee flexors, hip flexors. Abdominals, shoulder retractors, elevators, and extensors, elbow flexors.","[[Añjanēyāsana]], [[Jānuśīrṣāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Vajrāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Vīrabhadrāsana A]].","Pelvic floor, back extensors, transversus abdominis, hip stabilizers (emphasis flexors, adductors, and rear leg hip extensors), internal rotators of the leg, shoulder flexors, protractors, internal rotators and adductors of the arm, elbow extensors.","[[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Ekapādarājakapotāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Vīrabhadrāsana C]].","[[Ekapādarājakapotāsana]], [[Hanumānāsana]] back-bend variation, [[Naṭarājāsana A]]","[[Bālāsana]], [[Ūrdhva Dhanurāsana]].",58
Janu Sirsasana A,जानुशीर्षासन A,Jānuśīrṣāsana A,Head to Knee Pose A,Jānu = knee; Śīrṣa = head,yoga cikitsā,Tryaṅgamukhaikapāda Paścimottānāsana,Jānuśīrṣāsana A,x,x,,Apertura,4,"Extended leg: calf, knee flexors, hip extensors. Folded leg: knee extensors, hip adductors, rotators, and extensors. Back extensors, shoulder retractors and elevators.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Vṛkṣāsana]].","Hip flexors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: external rotators, knee flexors. Transversus abdominis, back extensors, obliques, shoulder depressors.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]] and [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","[[Parivṛtta Jānuśīrṣāsana]], [[Upaviṣṭhakoṇāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Apānāsana]], [[Ūrdhva Dhanurāsana]], [[Gomukhāsana B]].",59
Janu Sirsasana B,जानुशीर्षासन B,Jānuśīrṣāsana B,Head to Knee Pose B,Jānu = knee; Śīrṣa = head,yoga cikitsā,Jānuśīrṣāsana A,Jānuśīrṣāsana B,x,,,,,,,,,,,60
Janu Sirsasana C,जानुशीर्षासन C,Jānuśīrṣāsana C,Head to Knee Pose C,Jānu = knee; Śīrṣa = head,yoga cikitsā,Jānuśīrṣāsana B,Jānuśīrṣāsana C,x,,,,,,,,,,,61
Kapotasana A,कपोतासन B,Kapotāsana B,Pigeon Pose,Kapota = pigeon,nāḍī śodhana,Kapotāsana A,Kapotāsana B,x,,x,Apertura,13,"Knee flexors, hip flexors, foot dorsiflexors, abdominals, chest, shoulder elevators and flexors, upper back muscles, wrist flexors.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Laghu Vajrāsana]], [[Bhujaṅgāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","Wrist synergists, elbow flexors, external rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, and retractors), neck, transversus abdominis, back extensors, hip adductors and flexors, knee flexors, calves.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].",A peak pose! [[Laghu Vajrāsana]].,"Prone [[Śavāsana]], [[Marīchyāsana]], [[Vinyāsa]], [[Bālāsana]], [[Śavāsana]].",62
Kapotasana B,कपोतासन A,Kapotāsana A,Pigeon Pose,Kapota = pigeon,nāḍī śodhana,Laghu Vajrāsana,Kapotāsana A,x,,x,Apertura,,,,,,,,63
Karandavasana,करन्दावासन​,Karandāvāsana,Duck Pose,Karanda = duck,nāḍī śodhana,Piñchamayūrāsan,Karandāvāsana,x,,,,,,,,,,,64
Karna Pidasana,कर्णपीडासन​,Karṇapīḍāsana,Ear Pressure Pose,Karṇa = ear; Pīḍa = pressure,samāpana,Halasana,Urdhva Padmasana,x,,x,Entrega,11,"Elbow flexors, shoulder flexors, back extensors, hip extensors.","[[Bālāsana]], [[Daṇḍāsana]], [[Halāsana]], [[Paścimottānāsana A]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), elbow extensors, back extensors, hip flexors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Agnistambhāsana]], [[Halāsana]], [[Marīchyāsana A]], [[Parivṛttotkaṭāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana C]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Ūrdhvapadmāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Piṇḍāsana]], long-held forward bends.","[[Uttānapādāsana]], [[Marīchyāsana]], [[Adhomukhaśvānāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",65
Kasyapasana,काश्यपासन​,Kāśyapāsana,Sage Kaśyapa’s Pose,Named after Sage Kaśyapa,tṛtīya śreṇī,Viśvāmitrāsana B,Kāśyapāsana,x,,,,,,,,,,,66
Krounchasana,क्रोउन्चासन​,Krouncāsana,Heron Pose,Krauñca = heron (a bird),nāḍī śodhana,Pāśāsana,Krouncāsana,x,,,,4,"[[Vīrabhadrāsana A]] leg: foot dorsiflexors, knee extensors. Extended leg: hip extensors, knee flexors. Shoulder elevators.","[[Daṇḍāsana]], [[Paścimottānāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Vīrabhadrāsana A]].","Hip flexors and adductors, internal rotators of the leg, back extensors, abdominals, shoulder depressors and flexors. Extended leg: knee extensors, calf.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Marīchyāsana A]], [[Pādahastāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Vīrabhadrāsana A]], [[Ubhayapādāṅguṣṭhāsana]].","Pick up and float back to [[Chaturāṅgadaṇḍāsana]], [[Ekapādaśīrṣāsana]] to [[Cakorāsana]] vinyasa; [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","[[Vinyāsa]], [[Bālāsana]].",67
Kukkutasana,कुक्कुटासन​,Kukkuṭāsana,Cockerel Pose,Kukkuṭa = rooster,yoga cikitsā,Piṇḍāsana,Kukkuṭāsana,x,,,,10,"Hip adductors and extensors, internal rotators of the leg. Back extensors, chest, shoulder retractors and elevators, elbow flexors.","[[Bakāsana B]], [[Padmāsana]] and its Prep poses.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals, hip adductors and flexors, pelvic floor, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garbhapiṇḍāsana]], [[Jānuśīrṣāsana A]], [[Kūrmāsana]], [[Lolasana]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Tiṭṭibhāsana A]], [[Utplutiḥ]], [[Ūrdhvakukkutāsana]], [[Ekapādabakāsana A]].",[[Ūrdhvakukkutāsana]].,"[[Daṇḍāsana]], [[Paścimottānāsana A]], [[Gomukhāsana B]], [[Bālāsana]].",68
Kurmasana,कूर्मासन​,Kūrmāsana,Tortoise Pose,Kūrma = tortoise,yoga cikitsā,Bhujapīḍāsana,Kūrmāsana,x,,,,4,"Hip adductors and extensors, internal rotators of the leg. Back extensors, shoulder retractors and elevators.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Upaviṣṭhakoṇāsana A]].","Hip synergists, external rotators of the leg, back extensors, abdominals, shoulder stabilizers (emphasis depressors, protractors), internal rotators of the arm, elbow extensors.","[[Daṇḍāsana]], [[Ekapādaśīrṣāsana]], [[Jānuśīrṣāsana A]], [[Mālāsana]], [[Marīchyāsana A]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana A]], [[Uttānāsana]].","[[Tiṭṭibhāsana A]], [[Ekapādaśīrṣāsana]], [[Suptakūrmāsana]].","[[Marīchyāsana]], [[Ūrdhva Dhanurāsana]], [[Apānāsana]], [[Bālāsana]].",69
Laghu Vajrasana,लघु वज्रासन​,Laghu Vajrāsana,Little Thunderbolt Pose,Laghu = little; Vajra = thunderbolt,nāḍī śodhana,Uṣṭrāsana,Laghu Vajrāsana,x,x,x,Apertura,13,"Knee extensors, hip flexors, abdominals, shoulder extensors, elbow extensors, chest, throat.","[[Vajrāsana A]], [[Uṣṭrāsana]] and its Prep poses, [[Vīrabhadrāsana A]].","Knee extensors, hip adductors and extensors, internal rotators of the leg, back extensors, transversus abdominis, shoulder stabilizers (emphasis retractors/protractors, extensors), internal rotators of the arm, elbow flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Dvipādaviparītadaṇḍāsana]].","[[Kapotāsana B]], drop-backs, [[Naṭarājāsana A]], ticktocks.","[[Bālāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Paścimottānāsana]].",70
Lolasana,ळोलसन,Lolasana,Pendant Pose,Lola = dangling,,,,,,,,,,,,,,,71
Malasana,मालासन,Mālāsana,Garland Pose,Mālā = garland; Āsana = posture,,,,,x,,,4,"Calves, knee extensors, hip extensors and adductors, internal rotators of the leg, back extensors, chest, shoulder elevators and retractors.","[[Baddhakoṇāsana B]], [[Marīchyāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Vīrabhadrāsana A]].","Intrinsic foot muscles, knee flexors, hip flexors and adductors, external rotators of the leg, pelvic floor, abdominals, back extensors, shoulder retractors and extensors, elbow flexors, wrist flexors.","[[Ardhottānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Uttānāsana]], [[Vīrabhadrāsana B]].","[[Ākarṇa Dhanurāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Tiṭṭibhāsana A]].","[[Bālāsana]], [[Paścimottānāsana A]], [[Adhomukhaśvānāsana]], [[Marīchyāsana]], [[Uttānāsana]].",72
Marichyasana A,मरीछ्यासन A,Marīchyāsana A,Sage Marichi’s Pose A,Named after Sage Marichi,yoga cikitsā,Jānuśīrṣāsana C,Marīchyāsana A,x,,,,6,"Grounded leg: calf, knee flexors. Gesture leg: knee extensors, external rotators. Hip extensors, back extensors, shoulder retractors, elevators.","[[Añjanēyāsana]], [[Ardhabaddhapadmottānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]].","Hip flexors and adductors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: internal rotators, knee flexors. Abdominals, back extensors, obliques, shoulder depressors and extensors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Daṇḍāsana]], [[Ekapādaśīrṣāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Ākarṇa Dhanurāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Mālāsana]], [[Tiṭṭibhāsana A]], [[Ekapādaśīrṣāsana]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Supta Matsyendrāsana]], [[Ānandabālāsana]].",73
Marichyasana B,मरीछ्यासन B,Marīchyāsana B,Sage Marichi’s Pose B,Named after Sage Marichi,yoga cikitsā,Marīchyāsana A,Marīchyāsana B,x,,,,,,,,,,,74
